"O","H","L","C","V","T","BV","MarketName"
0.00100111,0.01,0.00100111,0.00336006,102720.82950717,2016-07-26,402.40959027,"BTC-ETC"
0.00336008,0.00411931,0.00180106,0.00240004,398346.50980145,2016-07-27,1162.27306127,"BTC-ETC"
0.00240011,0.003,0.002081,0.00268954,244165.79469842,2016-07-28,631.38412926,"BTC-ETC"
0.00264898,0.00274997,0.00235006,0.00249,172899.54295467,2016-07-29,438.81004283,"BTC-ETC"
0.00249976,0.00262586,0.00234013,0.00240985,97146.1621838,2016-07-30,239.75334923,"BTC-ETC"
0.00240956,0.00301999,0.0023832,0.00285757,191383.92785242,2016-07-31,538.71781221,"BTC-ETC"
0.00283096,0.0039381,0.00283096,0.00390995,327157.89001865,2016-08-01,1104.53502582,"BTC-ETC"
0.00380307,0.0064,0.00372001,0.00509989,934632.47900957,2016-08-02,4500.51500217,"BTC-ETC"
0.0050106,0.00580001,0.004,0.0046,551246.96681973,2016-08-03,2715.07964704,"BTC-ETC"
0.00460001,0.00485,0.00361,0.0041,353651.57646796,2016-08-04,1491.89024559,"BTC-ETC"
0.00403772,0.00461797,0.00392,0.00446187,110757.67502682,2016-08-05,485.67752633,"BTC-ETC"
0.00449999,0.00505,0.004347,0.00454033,188836.86034083,2016-08-06,881.05821727,"BTC-ETC"
0.00457786,0.00465717,0.00338319,0.00364387,221446.37835017,2016-08-07,862.55437891,"BTC-ETC"
0.00361206,0.00403783,0.00342203,0.00369219,94864.31718844,2016-08-08,352.83554876,"BTC-ETC"
0.00369219,0.003805,0.003,0.0032767,241664.85730725,2016-08-09,801.75917111,"BTC-ETC"
0.00327671,0.00348493,0.00268342,0.0028851,415988.39265688,2016-08-10,1257.21460197,"BTC-ETC"
0.00288509,0.0033,0.00265,0.00312433,154924.31743988,2016-08-11,467.50948326,"BTC-ETC"
0.00314175,0.0035678,0.00307664,0.003135,202715.89151278,2016-08-12,675.84796344,"BTC-ETC"
0.00315995,0.0033,0.00309506,0.0031637,39572.37680406,2016-08-13,124.41563138,"BTC-ETC"
0.00317329,0.00348601,0.00316494,0.00335911,68200.95307632,2016-08-14,228.13462226,"BTC-ETC"
0.00336011,0.00354328,0.00322992,0.00327,44443.76687933,2016-08-15,150.38598554,"BTC-ETC"
0.003272,0.00334679,0.00315379,0.003203,36889.5544387,2016-08-16,119.49358901,"BTC-ETC"
0.00320303,0.00325,0.00298946,0.00302006,43642.19554034,2016-08-17,135.40645932,"BTC-ETC"
0.00302087,0.00312546,0.00286226,0.00292595,26764.36201263,2016-08-18,79.39533643,"BTC-ETC"
0.00292595,0.00313112,0.00277219,0.00307917,56240.76649023,2016-08-19,163.98012685,"BTC-ETC"
0.00307916,0.00311178,0.0029,0.00298212,19877.0252766,2016-08-20,59.07042815,"BTC-ETC"
